"Fecha","Tipo de dólar","Precio de venta","Precio de compra"
"29/11/11","Casas de cambio","4.290",""
"29/11/11","Informal","4.790",""
"30/11/11","Casas de cambio","4.300",""
"30/11/11","Informal","4.790",""
"01/12/11","Casas de cambio","4.300",""
"01/12/11","Informal","4.790",""
"02/12/11","Casas de cambio","4.305",""
"02/12/11","Informal","4.790",""
"05/12/11","Casas de cambio","4.305",""
"05/12/11","Informal","4.790",""
"06/12/11","Casas de cambio","4.305",""
"06/12/11","Informal","4.790",""
"07/12/11","Casas de cambio","4.305",""
"07/12/11","Informal","4.790",""
"12/12/11","Casas de cambio","4.305",""
"12/12/11","Informal","4.790",""
"13/12/11","Casas de cambio","4.305",""
"13/12/11","Informal","4.790",""
"14/12/11","Casas de cambio","4.305",""
"14/12/11","Informal","4.610",""
"15/12/11","Casas de cambio","4.305",""
"15/12/11","Informal","4.620",""
"16/12/11","Casas de cambio","4.310",""
"16/12/11","Informal","4.610",""
"19/12/11","Casas de cambio","4.310",""
"19/12/11","Informal","4.640",""
"20/12/11","Casas de cambio","4.310",""
"20/12/11","Informal","4.630",""
"21/12/11","Casas de cambio","4.310",""
"21/12/11","Informal","4.630",""
"22/12/11","Casas de cambio","4.310",""
"22/12/11","Informal","4.650",""
"23/12/11","Casas de cambio","4.310",""
"23/12/11","Informal","4.670",""
"26/12/11","Casas de cambio","4.310",""
"26/12/11","Informal","4.650",""
"27/12/11","Casas de cambio","4.310",""
"27/12/11","Informal","4.710",""
"28/12/11","Casas de cambio","4.320",""
"28/12/11","Informal","4.740",""
"29/12/11","Casas de cambio","4.320",""
"29/12/11","Informal","4.735",""
"03/01/12","Casas de cambio","4.325",""
"03/01/12","Informal","4.745",""
"04/01/12","Casas de cambio","4.325",""
"04/01/12","Informal","4.780",""
"05/01/12","Casas de cambio","4.330",""
"05/01/12","Informal","4.790",""
"06/01/12","Casas de cambio","4.335",""
"06/01/12","Informal","4.785",""
"09/01/12","Casas de cambio","4.340",""
"09/01/12","Informal","4.790",""
"10/01/12","Casas de cambio","4.340",""
"10/01/12","Informal","4.790",""
"11/01/12","Casas de cambio","4.340",""
"11/01/12","Informal","4.800",""
"12/01/12","Casas de cambio","4.340",""
"12/01/12","Informal","4.800",""
"13/01/12","Casas de cambio","4.340",""
"13/01/12","Informal","4.805",""
"16/01/12","Casas de cambio","4.340",""
"16/01/12","Informal","4.805",""
"17/01/12","Casas de cambio","4.340",""
"17/01/12","Informal","4.810",""
"18/01/12","Casas de cambio","4.340",""
"18/01/12","Informal","4.825",""
"19/01/12","Casas de cambio","4.340",""
"19/01/12","Informal","4.835",""
"20/01/12","Casas de cambio","4.340",""
"20/01/12","Informal","4.835",""
"23/01/12","Casas de cambio","4.345",""
"23/01/12","Informal","4.840",""
"24/01/12","Casas de cambio","4.345",""
"24/01/12","Informal","4.840",""
"25/01/12","Casas de cambio","4.350",""
"25/01/12","Informal","4.840",""
"26/01/12","Casas de cambio","4.355",""
"26/01/12","Informal","4.845",""
"27/01/12","Casas de cambio","4.355",""
"27/01/12","Informal","4.835",""
"30/01/12","Casas de cambio","4.355",""
"30/01/12","Informal","4.805",""
"31/01/12","Casas de cambio","4.355",""
"31/01/12","Informal","4.790",""
"01/02/12","Casas de cambio","4.355",""
"01/02/12","Informal","4.775",""
"02/02/12","Casas de cambio","4.355",""
"02/02/12","Informal","4.775",""
"03/02/12","Casas de cambio","4.355",""
"03/02/12","Informal","4.775",""
"06/02/12","Casas de cambio","4.355",""
"06/02/12","Informal","4.765",""
"07/02/12","Casas de cambio","4.355",""
"07/02/12","Informal","4.730",""
"08/02/12","Casas de cambio","4.355",""
"08/02/12","Informal","4.730",""
"09/02/12","Casas de cambio","4.365",""
"09/02/12","Informal","4.760",""
"10/02/12","Casas de cambio","4.365",""
"10/02/12","Informal","4.760",""
"13/02/12","Casas de cambio","4.365",""
"13/02/12","Informal","4.740",""
"14/02/12","Casas de cambio","4.365",""
"14/02/12","Informal","4.735",""
"15/02/12","Casas de cambio","4.365",""
"15/02/12","Informal","4.760",""
"16/02/12","Casas de cambio","4.370",""
"16/02/12","Informal","4.735",""
"17/02/12","Casas de cambio","4.370",""
"17/02/12","Informal","4.760",""
"22/02/12","Casas de cambio","4.375",""
"22/02/12","Informal","4.740",""
"23/02/12","Casas de cambio","4.375",""
"23/02/12","Informal","4.730",""
"24/02/12","Casas de cambio","4.375",""
"24/02/12","Informal","4.730",""
"28/02/12","Casas de cambio","4.375",""
"28/02/12","Informal","4.725",""
"29/02/12","Casas de cambio","4.375",""
"29/02/12","Informal","4.720",""
"01/03/12","Casas de cambio","4.375",""
"01/03/12","Informal","4.700",""
"02/03/12","Casas de cambio","4.365",""
"02/03/12","Informal","4.690",""
"05/03/12","Casas de cambio","4.365",""
"05/03/12","Informal","4.685",""
"06/03/12","Casas de cambio","4.370",""
"06/03/12","Informal","4.685",""
"07/03/12","Casas de cambio","4.370",""
"07/03/12","Informal","4.710",""
"08/03/12","Casas de cambio","4.370",""
"08/03/12","Informal","4.710",""
"09/03/12","Casas de cambio","4.370",""
"09/03/12","Informal","4.710",""
"12/03/12","Casas de cambio","4.370",""
"12/03/12","Informal","4.715",""
"13/03/12","Casas de cambio","4.370",""
"13/03/12","Informal","4.720",""
"14/03/12","Casas de cambio","4.375",""
"14/03/12","Informal","4.740",""
"15/03/12","Casas de cambio","4.375",""
"15/03/12","Informal","4.785",""
"16/03/12","Casas de cambio","4.380",""
"16/03/12","Informal","4.815",""
"19/03/12","Casas de cambio","4.380",""
"19/03/12","Informal","4.790",""
"20/03/12","Casas de cambio","4.380",""
"20/03/12","Informal","4.820",""
"21/03/12","Casas de cambio","4.385",""
"21/03/12","Informal","4.855",""
"22/03/12","Casas de cambio","4.385",""
"22/03/12","Informal","4.870",""
"23/03/12","Casas de cambio","4.390",""
"23/03/12","Informal","4.890",""
"26/03/12","Casas de cambio","4.390",""
"26/03/12","Informal","4.905",""
"27/03/12","Casas de cambio","4.395",""
"27/03/12","Informal","4.930",""
"28/03/12","Casas de cambio","4.395",""
"28/03/12","Informal","4.930",""
"29/03/12","Casas de cambio","4.395",""
"29/03/12","Informal","4.940",""
"30/03/12","Casas de cambio","4.395",""
"30/03/12","Informal","4.930",""
"03/04/12","Casas de cambio","4.400",""
"03/04/12","Informal","4.890",""
"04/04/12","Casas de cambio","4.405",""
"04/04/12","Informal","4.905",""
"09/04/12","Casas de cambio","4.405",""
"09/04/12","Informal","4.890",""
"10/04/12","Casas de cambio","4.410",""
"10/04/12","Informal","4.880",""
"11/04/12","Casas de cambio","4.410",""
"11/04/12","Informal","4.890",""
"12/04/12","Casas de cambio","4.410",""
"12/04/12","Informal","4.910",""
"13/04/12","Casas de cambio","4.410",""
"13/04/12","Informal","4.930",""
"16/04/12","Casas de cambio","4.410",""
"16/04/12","Informal","4.950",""
"17/04/12","Casas de cambio","4.410",""
